,group,names,scores,logfoldchanges,pvals,pvals_adj
39174,13,ZFP36,6.057095,1.999216,1.3860177840577971e-09,1.9879455074200405e-07
39175,13,IGKV3D-11,6.001148,4.3086534,1.9592679589751034e-09,2.6375556051883e-07
39176,13,IGKV1-8,5.9966683,5.0007195,2.0140696852367494e-09,2.6375556051883e-07
39177,13,JCHAIN,5.8944077,4.137466,3.76028000462254e-09,4.719151405801288e-07
39178,13,IGKV1-27,5.492029,4.5376215,3.973414354904438e-08,4.71381950586856e-06
39179,13,MT-ND4L,5.487829,2.5601277,4.0690341020113726e-08,4.71381950586856e-06
39180,13,IGKV1-12,5.3696637,5.848851,7.888358168402791e-08,8.79990177897378e-06
39181,13,POU2F2,5.3206058,3.2918189,1.0342243817536607e-07,1.0768154949801106e-05
39182,13,CD24,5.3201575,2.7078087,1.0367745469596018e-07,1.0768154949801106e-05
39183,13,C6orf203,5.3055687,1.850482,1.1232216622705384e-07,1.1277145489196205e-05
39184,13,APOD,5.2974763,1.9777939,1.1741402644892223e-07,1.1408098311746896e-05
39185,13,FABP7,5.2084603,1.8339224,1.9041394265678151e-07,1.739271592908039e-05
39186,13,IGLL5,5.2083206,6.5099883,1.9055764464131902e-07,1.739271592908039e-05
39187,13,IGHV6-1,5.198576,3.751496,2.0082103116756416e-07,1.7790380761079507e-05
39188,13,LINC01285,5.1468577,1.8429328,2.6488619640284326e-07,2.2795349244724684e-05
39189,13,FOS,4.9906945,1.6875862,6.016257075759545e-07,5.033601753385486e-05
39190,13,IGHV1-3,4.98109,3.2996128,6.322708698650646e-07,5.147026648739391e-05
39191,13,HIST1H4C,4.9721575,1.7085974,6.621180740627523e-07,5.2481569449395e-05
39192,13,AZGP1,4.938724,1.6923511,7.863533884699148e-07,6.073067707875342e-05
39193,13,HIST1H1E,4.9239397,2.3218658,8.481906148213654e-07,6.386875329604882e-05
39194,13,IGLV3-1,4.7304506,2.3058834,2.240218875904492e-06,0.00016457412815181293
39195,13,IGHV4-39,4.519769,3.5256226,6.190709207892739e-06,0.0004439622889088793
39196,13,SCD,4.4144006,1.2476689,1.0129034128525434e-05,0.0006940068801319996
39197,13,SLPI,4.4142046,1.3430495,1.0138214716403711e-05,0.0006940068801319996
39198,13,JSRP1,4.3999796,6.650001,1.0826098835243047e-05,0.0007246268820389346
39199,13,IGHV1-18,4.3040195,2.5305297,1.677269835054357e-05,0.0010982471180834182
39200,13,ZBP1,4.2726297,4.7239428,1.9318090025456813e-05,0.00123800185439736
39201,13,AKT1,4.1765018,1.311303,2.960266753863216e-05,0.0018575673880491682
39202,13,TDO2,4.1057143,2.3120222,4.0306727677966904e-05,0.0024776298727762513
39203,13,IGHV3-21,4.1007023,2.1627576,4.11898442351709e-05,0.0024812762167266953
39204,13,RND1,4.071665,2.105302,4.667831344400985e-05,0.0027567662763403468
39205,13,IGHV1-2,4.0451474,5.9829516,5.2290162678917763e-05,0.00302880711517116
39206,13,MALAT1,4.00897,1.6842632,6.098416666426255e-05,0.0034657416979765807
39208,13,FOXA1,3.9606957,1.6256251,7.473168849034105e-05,0.004092579013325586
39209,13,KIAA0125,3.9236782,7.518316,8.720723710892091e-05,0.00469050353878696
39210,13,CH17-224D4.2,3.8656316,2.1881897,0.0001108021389538325,0.005855018289981465
39211,13,POU2AF1,3.83413,5.264635,0.0001260094654471105,0.006543801895287876
39212,13,IGKV1-39,3.8216975,6.1820226,0.00013253621563505793,0.006766086126996517
39213,13,HIST1H2AL,3.7947323,3.3123615,0.00014780286617317067,0.007370887348821171
39214,13,BATF,3.792268,1.5252279,0.00014927759902991084,0.007370887348821171
39215,13,PTP4A3,3.767039,2.5495534,0.00016519520129081201,0.008025289456256867
39216,13,MIR155HG,3.7617748,5.1034513,0.00016871194730763692,0.008066037861755594
39217,13,CH17-262H11.1,3.7161326,5.349536,0.0002022953718568914,0.009520525938014952
39218,13,LDLRAD4,3.7067802,1.8269156,0.0002099109164985675,0.009680645978622242
