names,logfoldchanges,pvals_adj
CTSL,2.3827474,1.6960998024062373e-102
PLTP,2.3766017,6.559993210976945e-99
PHACTR1,2.3708649,3.487948574702273e-05
ITGBL1,2.3619633,9.50251481411964e-05
PLPP1,2.3488958,9.60053742426625e-72
TNC,2.3209844,7.768701417286817e-48
MT1E,2.2999578,9.13794654359418e-94
CXCL2,2.2178366,1.811399607563204e-60
TNFRSF10C,2.1893225,0.0018045694236258
COL8A1,2.150026,6.854938243355313e-51
ADTRP,2.099672,0.0002845067405272
LOX,2.0743964,1.663931060717933e-23
SEPT4,2.0709083,1.769469593235642e-06
ADM,2.0069275,6.513550749141105e-43
HBEGF,1.94616,6.025359807998392e-28
CSTA,1.9335403,5.167016989515484e-106
DST,1.9225298,1.2487637573663803e-77
C10orf10,1.920919,3.2551515746607144e-29
CD68,1.9017231,2.451066462275605e-56
TNFAIP6,1.8572041,9.198930763464996e-25
SLC9A3R2,1.8495196,1.7256439015449706e-32
TIMP1,1.8065634,8.551581646010288e-108
RP11-350N15.5,1.779447,0.0045485761049562
MCAM,1.7453139,2.087251820120704e-06
RND3,1.7113471,1.5565243804155152e-54
IL1B,1.6848983,0.0027979701170623
EGFL7,1.6695158,1.3940375700305324e-54
PGAP1,1.6659867,2.4063875208461995e-05
DKK1,1.6469529,4.604960069997769e-16
SNCG,1.6413003,6.292007390749192e-18
FTL,1.6350633,1.566857670124082e-268
ULBP2,1.6296613,4.069750801796439e-07
MDK,1.5832546,3.602892465223294e-129
NQO1,1.5730325,1.7608878773807497e-88
CTGF,1.5718275,2.3725156031513002e-18
C1S,1.5049033,1.0229017200717532e-56
MYO1B,1.5024283,7.30645175470621e-52
